incident_id,datetime_reported,datetime_cleared,duration_min,location_id,road_code,road_name,area,direction,latitude,longitude,incident_type,severity,lanes_blocked,total_lanes,response_time_min,weather_condition,precip_mm,is_peak_hour,source
INC1180,2023-01-16 19:00:00,2023-01-16 19:28:00,28,SZR_N4,E11,Sheikh Zayed Road,Al Barsha,NB (to Deira),25.11872,55.19778,Vehicle Breakdown,Low,1,7,9,Clear,0.0,1,RTA Control Room
INC1563,2023-01-18 07:00:00,2023-01-18 07:38:00,38,MAK_N1,D75,Al Maktoum Bridge,Bur Dubai,NB (to Deira),25.24478,55.31669,Minor Accident,Medium,1,4,3,Fog,0.0,1,RTA Control Room
INC1038,2023-01-18 11:00:00,2023-01-18 11:09:00,9,SZR_S1,E11,Sheikh Zayed Road,Trade Centre,SB (to Abu Dhabi),25.21913,55.2845,Debris on Road,Low,1,6,3,Partly Cloudy,0.0,0,Public Report (app)
INC1431,2023-01-18 12:00:00,2023-01-18 12:58:00,58,ITT_E1,D89,Al Ittihad Road,Al Qiyadah,EB (to Sharjah),25.26782,55.33616,Minor Accident,Medium,1,5,8,Sunny,0.0,0,RTA Control Room
INC1359,2023-01-18 14:00:00,2023-01-18 14:34:00,34,EMR_E1,E611,Emirates Road,Al Awir,Both (sample EB),25.17029,55.44065,Vehicle Breakdown,Low,1,5,8,Partly Cloudy,0.0,0,RTA Control Room
INC1432,2023-01-18 21:00:00,2023-01-18 21:47:00,47,ITT_E1,D89,Al Ittihad Road,Al Qiyadah,EB (to Sharjah),25.26535,55.33582,Minor Accident,Medium,2,5,10,Clear,0.0,0,RTA Control Room
INC1290,2023-01-18 21:00:00,2023-01-19 00:42:00,222,EKR_S1,E44,Al Khail Road,Al Quoz,SB (to Jebel Ali),25.14894,55.23754,Road Closure (Planned),Medium,2,5,14,Clear,0.0,0,Public Report (app)
INC1360,2023-01-19 15:00:00,2023-01-19 15:28:00,28,EMR_E1,E611,Emirates Road,Al Awir,Both (sample EB),25.16907,55.4401,Vehicle Breakdown,Low,1,5,12,Sunny,0.0,0,Police Report
INC1039,2023-01-20 04:00:00,2023-01-20 04:56:00,56,SZR_S1,E11,Sheikh Zayed Road,Trade Centre,SB (to Abu Dhabi),25.22556,55.28127,Minor Accident,Medium,2,6,12,Fog,0.0,0,RTA Control Room
INC1525,2023-01-20 08:00:00,2023-01-20 08:29:00,29,GAR_N1,D75,Al Garhoud Bridge,Garhoud,NB (to Deira),25.23395,55.32997,Vehicle Breakdown,Low,1,5,4,Fog,0.0,1,Police Report
INC1224,2023-01-20 15:00:00,2023-01-20 15:36:00,36,SZR_S4,E11,Sheikh Zayed Road,Al Barsha,SB (to Abu Dhabi),25.1207,55.19992,Minor Accident,Medium,1,7,4,Partly Cloudy,0.0,0,RTA Control Room
INC1385,2023-01-22 00:00:00,2023-01-22 00:39:00,39,ITT_W1,D89,Al Ittihad Road,Al Mamzar,WB (to Dubai),25.29334,55.35716,Stalled Vehicle,Low,1,5,8,Clear,0.0,0,RTA Control Room
INC1485,2023-01-23 05:00:00,2023-01-23 06:06:00,66,AIR_W1,D89,Airport Road,Al Garhoud,WB (to city),25.2463,55.35027,Minor Accident,Medium,1,4,9,Clear,0.0,0,Police Report
INC1564,2023-01-23 20:00:00,2023-01-23 20:23:00,23,MAK_N1,D75,Al Maktoum Bridge,Bur Dubai,NB (to Deira),25.24094,55.3153,Vehicle Breakdown,Low,1,4,8,Clear,0.0,1,RTA Control Room
INC1225,2023-01-24 09:00:00,2023-01-24 09:21:00,21,SZR_S4,E11,Sheikh Zayed Road,Al Barsha,SB (to Abu Dhabi),25.11701,55.20287,Minor Accident,Medium,2,7,11,Sunny,0.0,1,RTA Control Room
INC1003,2023-01-25 07:00:00,2023-01-25 08:43:00,103,SZR_N1,E11,Sheikh Zayed Road,Trade Centre,NB (to Deira),25.22303,55.28004,Major Accident,High,3,6,11,Hazy,0.0,1,RTA Control Room
INC1004,2023-01-25 12:00:00,2023-01-25 12:16:00,16,SZR_N1,E11,Sheikh Zayed Road,Trade Centre,NB (to Deira),25.22227,55.27925,Vehicle Breakdown,Low,1,6,3,Sunny,0.0,0,RTA Control Room
INC1486,2023-01-26 17:00:00,2023-01-26 17:24:00,24,AIR_W1,D89,Airport Road,Al Garhoud,WB (to city),25.24973,55.35342,Stalled Vehicle,Low,1,4,4,Sunny,0.0,1,Police Report
INC1181,2023-01-26 19:00:00,2023-01-26 19:37:00,37,SZR_N4,E11,Sheikh Zayed Road,Al Barsha,NB (to Deira),25.11793,55.19801,Vehicle Breakdown,Low,1,7,11,Clear,0.0,1,RTA Control Room
INC1565,2023-01-27 00:00:00,2023-01-27 00:50:00,50,MAK_N1,D75,Al Maktoum Bridge,Bur Dubai,NB (to Deira),25.23935,55.31841,Minor Accident,Medium,2,4,17,Clear,0.0,0,Public Report (app)
INC1386,2023-01-27 21:00:00,2023-01-27 21:25:00,25,ITT_W1,D89,Al Ittihad Road,Al Mamzar,WB (to Dubai),25.29429,55.35384,Vehicle Breakdown,Low,1,5,10,Clear,0.0,0,RTA Control Room
INC1092,2023-01-28 16:00:00,2023-01-28 19:11:00,191,SZR_N2,E11,Sheikh Zayed Road,DIFC,NB (to Deira),25.21011,55.27774,Road Closure (Planned),Medium,2,6,9,Sunny,0.0,1,Police Report
INC1337,2023-01-29 05:00:00,2023-01-29 05:26:00,26,MBZ_E1,E311,Mohammed Bin Zayed Road,DIP,Both (sample EB),24.98815,55.16982,Minor Accident,Medium,1,6,14,Clear,0.0,0,CCTV Detection
INC1566,2023-01-30 08:00:00,2023-01-30 08:16:00,16,MAK_N1,D75,Al Maktoum Bridge,Bur Dubai,NB (to Deira),25.2399,55.31651,Vehicle Breakdown,Low,1,4,11,Sunny,0.0,1,RTA Control Room
INC1291,2023-01-30 08:00:00,2023-01-30 08:23:00,23,EKR_S1,E44,Al Khail Road,Al Quoz,SB (to Jebel Ali),25.1481,55.23809,Stalled Vehicle,Low,1,5,8,Sunny,0.0,1,RTA Control Room
INC1361,2023-02-01 05:00:00,2023-02-01 05:12:00,12,EMR_E1,E611,Emirates Road,Al Awir,Both (sample EB),25.16778,55.44076,Vehicle Breakdown,Low,1,5,9,Fog,0.0,0,Police Report
INC1040,2023-02-01 06:00:00,2023-02-01 07:53:00,113,SZR_S1,E11,Sheikh Zayed Road,Trade Centre,SB (to Abu Dhabi),25.22481,55.28333,Major Accident,High,3,6,4,Fog,0.0,0,Police Report
INC1182,2023-02-01 08:00:00,2023-02-01 09:12:00,72,SZR_N4,E11,Sheikh Zayed Road,Al Barsha,NB (to Deira),25.11975,55.19796,Road Closure (Planned),Medium,2,7,7,Fog,0.0,1,Police Report
INC1433,2023-02-01 08:00:00,2023-02-01 08:39:00,39,ITT_E1,D89,Al Ittihad Road,Al Qiyadah,EB (to Sharjah),25.26792,55.3367,Vehicle Breakdown,Low,1,5,10,Fog,0.0,1,Public Report (app)
INC1093,2023-02-01 18:00:00,2023-02-01 18:43:00,43,SZR_N2,E11,Sheikh Zayed Road,DIFC,NB (to Deira),25.21028,55.27788,Minor Accident,Medium,1,6,4,Sunny,0.0,1,Police Report
INC1526,2023-02-02 14:00:00,2023-02-02 14:49:00,49,GAR_N1,D75,Al Garhoud Bridge,Garhoud,NB (to Deira),25.23288,55.32959,Vehicle Breakdown,Low,1,5,7,Sunny,0.0,0,RTA Control Room
INC1527,2023-02-02 18:00:00,2023-02-02 19:27:00,87,GAR_N1,D75,Al Garhoud Bridge,Garhoud,NB (to Deira),25.22957,55.3284,Major Accident,High,3,5,10,Partly Cloudy,0.0,1,Police Report
INC1693,2023-02-04 10:00:00,2023-02-04 10:08:00,8,DWC_X1,E77,Expo Road,Dubai South,Both (sample),24.90017,55.16236,Vehicle Breakdown,Low,1,4,12,Sunny,0.0,0,Police Report
INC1434,2023-02-04 16:00:00,2023-02-04 16:48:00,48,ITT_E1,D89,Al Ittihad Road,Al Qiyadah,EB (to Sharjah),25.26547,55.33946,Minor Accident,Medium,2,5,8,Sunny,0.0,1,RTA Control Room
INC1141,2023-02-04 16:00:00,2023-02-04 18:32:00,152,SZR_S2,E11,Sheikh Zayed Road,DIFC,SB (to Abu Dhabi),25.20995,55.28365,Major Accident,High,2,6,3,Sunny,0.0,1,Police Report
INC1660,2023-02-05 19:00:00,2023-02-05 19:34:00,34,JBR_X1,D94,Jumeirah Beach Road,Jumeirah,Both (sample),25.20741,55.24553,Minor Accident,Medium,2,3,7,Clear,0.0,1,RTA Control Room
INC1292,2023-02-05 23:00:00,2023-02-05 23:48:00,48,EKR_S1,E44,Al Khail Road,Al Quoz,SB (to Jebel Ali),25.14848,55.23364,Minor Accident,Medium,2,5,11,Clear,0.0,0,CCTV Detection
INC1005,2023-02-06 21:00:00,2023-02-06 21:34:00,34,SZR_N1,E11,Sheikh Zayed Road,Trade Centre,NB (to Deira),25.22379,55.28248,Minor Accident,Medium,1,6,4,Clear,0.0,0,Public Report (app)
INC1528,2023-02-07 07:00:00,2023-02-07 07:25:00,25,GAR_N1,D75,Al Garhoud Bridge,Garhoud,NB (to Deira),25.23287,55.33135,Debris on Road,Low,1,5,12,Partly Cloudy,0.0,1,CCTV Detection
INC1041,2023-02-07 13:00:00,2023-02-07 13:20:00,20,SZR_S1,E11,Sheikh Zayed Road,Trade Centre,SB (to Abu Dhabi),25.22662,55.28134,Debris on Road,Low,1,6,14,Sunny,0.0,0,Public Report (app)
INC1042,2023-02-07 16:00:00,2023-02-07 16:21:00,21,SZR_S1,E11,Sheikh Zayed Road,Trade Centre,SB (to Abu Dhabi),25.22244,55.28008,Stalled Vehicle,Low,1,6,11,Hazy,0.0,1,Public Report (app)
INC1183,2023-02-09 10:00:00,2023-02-09 10:55:00,55,SZR_N4,E11,Sheikh Zayed Road,Al Barsha,NB (to Deira),25.11601,55.1981,Minor Accident,Medium,2,7,8,Partly Cloudy,0.0,0,CCTV Detection
INC1435,2023-02-09 19:00:00,2023-02-09 19:12:00,12,ITT_E1,D89,Al Ittihad Road,Al Qiyadah,EB (to Sharjah),25.26708,55.33456,Stalled Vehicle,Low,1,5,5,Clear,0.0,1,RTA Control Room
INC1184,2023-02-11 05:00:00,2023-02-11 05:52:00,52,SZR_N4,E11,Sheikh Zayed Road,Al Barsha,NB (to Deira),25.12204,55.20323,Minor Accident,Medium,2,7,5,Clear,0.0,0,RTA Control Room
INC1094,2023-02-11 20:00:00,2023-02-11 20:24:00,24,SZR_N2,E11,Sheikh Zayed Road,DIFC,NB (to Deira),25.2113,55.27974,Vehicle Breakdown,Low,1,6,12,Clear,0.0,1,Public Report (app)
INC1006,2023-02-12 13:00:00,2023-02-12 13:55:00,55,SZR_N1,E11,Sheikh Zayed Road,Trade Centre,NB (to Deira),25.22284,55.28506,Minor Accident,Medium,2,6,3,Sunny,0.0,0,Police Report
INC1185,2023-02-12 16:00:00,2023-02-12 16:31:00,31,SZR_N4,E11,Sheikh Zayed Road,Al Barsha,NB (to Deira),25.11622,55.19914,Vehicle Breakdown,Low,1,7,13,Sunny,0.0,1,Public Report (app)
INC1362,2023-02-12 17:00:00,2023-02-12 17:32:00,32,EMR_E1,E611,Emirates Road,Al Awir,Both (sample EB),25.17295,55.44062,Minor Accident,Medium,2,5,8,Partly Cloudy,0.0,1,Police Report
INC1436,2023-02-12 18:00:00,2023-02-12 18:50:00,50,ITT_E1,D89,Al Ittihad Road,Al Qiyadah,EB (to Sharjah),25.26989,55.33659,Minor Accident,Medium,2,5,10,Sunny,0.0,1,RTA Control Room
INC1529,2023-02-12 19:00:00,2023-02-12 19:23:00,23,GAR_N1,D75,Al Garhoud Bridge,Garhoud,NB (to Deira),25.2326,55.33091,Debris on Road,Low,1,5,16,Clear,0.0,1,Police Report
INC1186,2023-02-13 07:00:00,2023-02-13 07:56:00,56,SZR_N4,E11,Sheikh Zayed Road,Al Barsha,NB (to Deira),25.11619,55.19828,Minor Accident,Medium,1,7,15,Fog,0.0,1,RTA Control Room
INC1142,2023-02-13 08:00:00,2023-02-13 08:25:00,25,SZR_S2,E11,Sheikh Zayed Road,DIFC,SB (to Abu Dhabi),25.2115,55.27982,Vehicle Breakdown,Low,1,6,9,Fog,0.0,1,CCTV Detection
INC1143,2023-02-13 10:00:00,2023-02-13 11:01:00,61,SZR_S2,E11,Sheikh Zayed Road,DIFC,SB (to Abu Dhabi),25.21369,55.27842,Vehicle Breakdown,Low,1,6,8,Sunny,0.0,0,CCTV Detection
INC1487,2023-02-14 07:00:00,2023-02-14 07:19:00,19,AIR_W1,D89,Airport Road,Al Garhoud,WB (to city),25.24843,55.35079,Minor Accident,Medium,1,4,11,Fog,0.0,1,RTA Control Room
INC1488,2023-02-14 08:00:00,2023-02-14 13:57:00,357,AIR_W1,D89,Airport Road,Al Garhoud,WB (to city),25.25547,55.35128,Road Closure (Planned),Medium,2,4,7,Fog,0.0,1,RTA Control Room
INC1605,2023-02-14 10:00:00,2023-02-14 10:34:00,34,BBC_S1,E11,Business Bay Crossing,Business Bay,SB (to Bur Dubai),25.19375,55.28915,Minor Accident,Medium,2,5,8,Sunny,0.0,0,Police Report
INC1567,2023-02-14 11:00:00,2023-02-14 11:43:00,43,MAK_N1,D75,Al Maktoum Bridge,Bur Dubai,NB (to Deira),25.24158,55.31383,Vehicle Breakdown,Low,1,4,12,Sunny,0.0,0,RTA Control Room
INC1437,2023-02-16 14:00:00,2023-02-16 14:07:00,7,ITT_E1,D89,Al Ittihad Road,Al Qiyadah,EB (to Sharjah),25.26558,55.34127,Vehicle Breakdown,Low,1,5,10,Sunny,0.0,0,RTA Control Room
INC1438,2023-02-16 18:00:00,2023-02-16 18:17:00,17,ITT_E1,D89,Al Ittihad Road,Al Qiyadah,EB (to Sharjah),25.26692,55.33958,Flooding,High,2,5,13,Sunny,0.0,1,RTA Control Room
INC1489,2023-02-18 13:00:00,2023-02-18 13:17:00,17,AIR_W1,D89,Airport Road,Al Garhoud,WB (to city),25.24755,55.35123,Minor Accident,Medium,1,4,8,Sunny,0.0,0,Public Report (app)
INC1661,2023-02-18 18:00:00,2023-02-18 18:12:00,12,JBR_X1,D94,Jumeirah Beach Road,Jumeirah,Both (sample),25.20882,55.24782,Debris on Road,Low,1,3,13,Partly Cloudy,0.0,1,CCTV Detection
INC1095,2023-02-18 19:00:00,2023-02-18 19:05:00,5,SZR_N2,E11,Sheikh Zayed Road,DIFC,NB (to Deira),25.20775,55.27995,Vehicle Breakdown,Low,1,6,12,Clear,0.0,1,Police Report
INC1606,2023-02-19 15:00:00,2023-02-19 15:26:00,26,BBC_S1,E11,Business Bay Crossing,Business Bay,SB (to Bur Dubai),25.19311,55.29288,Vehicle Breakdown,Low,1,5,6,Sunny,0.0,0,CCTV Detection
INC1490,2023-02-19 23:00:00,2023-02-19 23:34:00,34,AIR_W1,D89,Airport Road,Al Garhoud,WB (to city),25.24629,55.35254,Major Accident,High,2,4,6,Clear,0.0,0,RTA Control Room
INC1096,2023-02-20 07:00:00,2023-02-20 07:29:00,29,SZR_N2,E11,Sheikh Zayed Road,DIFC,NB (to Deira),25.21241,55.27721,Debris on Road,Low,1,6,10,Sunny,0.0,1,RTA Control Room
INC1187,2023-02-20 07:00:00,2023-02-20 07:33:00,33,SZR_N4,E11,Sheikh Zayed Road,Al Barsha,NB (to Deira),25.12045,55.19994,Minor Accident,Medium,2,7,12,Sunny,0.0,1,RTA Control Room
INC1491,2023-02-20 09:00:00,2023-02-20 09:56:00,56,AIR_W1,D89,Airport Road,Al Garhoud,WB (to city),25.24731,55.3541,Vehicle Breakdown,Low,1,4,12,Sunny,0.0,1,RTA Control Room
INC1043,2023-02-20 12:00:00,2023-02-20 12:31:00,31,SZR_S1,E11,Sheikh Zayed Road,Trade Centre,SB (to Abu Dhabi),25.22321,55.28068,Debris on Road,Low,1,6,7,Sunny,0.0,0,RTA Control Room
INC1097,2023-02-20 13:00:00,2023-02-20 13:26:00,26,SZR_N2,E11,Sheikh Zayed Road,DIFC,NB (to Deira),25.20812,55.27853,Vehicle Breakdown,Low,1,6,14,Partly Cloudy,0.0,0,RTA Control Room
INC1293,2023-02-20 17:00:00,2023-02-20 17:32:00,32,EKR_S1,E44,Al Khail Road,Al Quoz,SB (to Jebel Ali),25.15037,55.23293,Minor Accident,Medium,1,5,5,Sunny,0.0,1,Police Report
INC1568,2023-02-21 08:00:00,2023-02-21 08:18:00,18,MAK_N1,D75,Al Maktoum Bridge,Bur Dubai,NB (to Deira),25.23962,55.31705,Vehicle Breakdown,Low,1,4,5,Partly Cloudy,0.0,1,RTA Control Room
INC1044,2023-02-21 08:00:00,2023-02-21 08:51:00,51,SZR_S1,E11,Sheikh Zayed Road,Trade Centre,SB (to Abu Dhabi),25.22251,55.28187,Minor Accident,Medium,1,6,5,Partly Cloudy,0.0,1,RTA Control Room
INC1045,2023-02-21 11:00:00,2023-02-21 11:47:00,47,SZR_S1,E11,Sheikh Zayed Road,Trade Centre,SB (to Abu Dhabi),25.22282,55.28277,Minor Accident,Medium,2,6,15,Hazy,0.0,0,CCTV Detection
INC1144,2023-02-21 13:00:00,2023-02-21 13:50:00,50,SZR_S2,E11,Sheikh Zayed Road,DIFC,SB (to Abu Dhabi),25.20791,55.28433,Minor Accident,Medium,1,6,8,Sunny,0.0,0,Public Report (app)
INC1492,2023-02-21 20:00:00,2023-02-21 20:26:00,26,AIR_W1,D89,Airport Road,Al Garhoud,WB (to city),25.24802,55.35655,Debris on Road,Low,1,4,14,Clear,0.0,1,CCTV Detection
INC1607,2023-02-21 21:00:00,2023-02-21 21:29:00,29,BBC_S1,E11,Business Bay Crossing,Business Bay,SB (to Bur Dubai),25.19225,55.28883,Vehicle Breakdown,Low,1,5,3,Clear,0.0,0,Police Report
INC1098,2023-02-22 06:00:00,2023-02-22 06:16:00,16,SZR_N2,E11,Sheikh Zayed Road,DIFC,NB (to Deira),25.20784,55.27979,Vehicle Breakdown,Low,1,6,8,Clear,0.0,0,RTA Control Room
INC1294,2023-02-22 16:00:00,2023-02-22 18:21:00,141,EKR_S1,E44,Al Khail Road,Al Quoz,SB (to Jebel Ali),25.15049,55.2317,Major Accident,High,3,5,6,Sunny,0.0,1,Police Report
INC1046,2023-02-22 19:00:00,2023-02-22 19:41:00,41,SZR_S1,E11,Sheikh Zayed Road,Trade Centre,SB (to Abu Dhabi),25.22222,55.28934,Minor Accident,Medium,1,6,13,Clear,0.0,1,RTA Control Room
INC1007,2023-02-22 20:00:00,2023-02-22 20:43:00,43,SZR_N1,E11,Sheikh Zayed Road,Trade Centre,NB (to Deira),25.22359,55.28159,Minor Accident,Medium,2,6,5,Clear,0.0,1,RTA Control Room
INC1608,2023-02-23 12:00:00,2023-02-23 12:21:00,21,BBC_S1,E11,Business Bay Crossing,Business Bay,SB (to Bur Dubai),25.193,55.28911,Minor Accident,Medium,1,5,9,Sunny,0.0,0,RTA Control Room
INC1099,2023-02-23 12:00:00,2023-02-23 12:30:00,30,SZR_N2,E11,Sheikh Zayed Road,DIFC,NB (to Deira),25.21326,55.27681,Vehicle Breakdown,Low,1,6,15,Sunny,0.0,0,RTA Control Room
INC1188,2023-02-23 23:00:00,2023-02-23 23:20:00,20,SZR_N4,E11,Sheikh Zayed Road,Al Barsha,NB (to Deira),25.11978,55.20033,Vehicle Breakdown,Low,1,7,7,Clear,0.0,0,Public Report (app)
