date,year,month,day,day_of_week,is_weekend,is_public_holiday,holiday_name,is_ramadan,school_status,is_dsf,rain_event,rain_severity,dust_severity
2023-03-02,2023,3,2,Thursday,0,0,,0,In Session,0,,0,0
2023-03-03,2023,3,3,Friday,0,0,,0,In Session,0,,0,0
2023-03-04,2023,3,4,Saturday,1,0,,0,In Session,0,,0,0
2023-03-05,2023,3,5,Sunday,1,0,,0,In Session,0,,0,0
2023-03-06,2023,3,6,Monday,0,0,,0,In Session,0,,0,0
2023-03-07,2023,3,7,Tuesday,0,0,,0,In Session,0,,0,0
2023-03-08,2023,3,8,Wednesday,0,0,,0,In Session,0,,0,0
2023-03-09,2023,3,9,Thursday,0,0,,0,In Session,0,,0,0
2023-03-10,2023,3,10,Friday,0,0,,0,In Session,0,,0,0
2023-03-11,2023,3,11,Saturday,1,0,,0,In Session,0,,0,0
2023-03-12,2023,3,12,Sunday,1,0,,0,In Session,0,,0,0
2023-03-13,2023,3,13,Monday,0,0,,0,In Session,0,,0,0
2023-03-14,2023,3,14,Tuesday,0,0,,0,In Session,0,,0,0
2023-03-15,2023,3,15,Wednesday,0,0,,0,In Session,0,,0,0
2023-03-16,2023,3,16,Thursday,0,0,,0,In Session,0,,0,0
2023-03-17,2023,3,17,Friday,0,0,,0,In Session,0,,0,0
2023-03-18,2023,3,18,Saturday,1,0,,0,In Session,0,,0,0
2023-03-19,2023,3,19,Sunday,1,0,,0,In Session,0,,0,0
2023-03-20,2023,3,20,Monday,0,0,,0,In Session,0,,0,0
2023-03-21,2023,3,21,Tuesday,0,0,,0,In Session,0,,0,0
2023-03-22,2023,3,22,Wednesday,0,0,,0,In Session,0,,0,0
2023-03-23,2023,3,23,Thursday,0,0,,1,In Session,0,,0,0
2023-03-24,2023,3,24,Friday,0,0,,1,In Session,0,,0,0
2023-03-25,2023,3,25,Saturday,1,0,,1,Spring Break,0,,0,0
2023-03-26,2023,3,26,Sunday,1,0,,1,Spring Break,0,,0,0
2023-03-27,2023,3,27,Monday,0,0,,1,Spring Break,0,,0,0
2023-03-28,2023,3,28,Tuesday,0,0,,1,Spring Break,0,,0,0
2023-03-29,2023,3,29,Wednesday,0,0,,1,Spring Break,0,,0,0
2023-03-30,2023,3,30,Thursday,0,0,,1,Spring Break,0,,0,0
2023-03-31,2023,3,31,Friday,0,0,,1,Spring Break,0,,0,0
2023-04-01,2023,4,1,Saturday,1,0,,1,In Session,0,,0,0
2023-04-02,2023,4,2,Sunday,1,0,,1,In Session,0,,0,0
2023-04-03,2023,4,3,Monday,0,0,,1,In Session,0,,0,0
2023-04-04,2023,4,4,Tuesday,0,0,,1,In Session,0,,0,0
2023-04-05,2023,4,5,Wednesday,0,0,,1,In Session,0,,0,0
2023-04-06,2023,4,6,Thursday,0,0,,1,In Session,0,,0,0
2023-04-07,2023,4,7,Friday,0,0,,1,In Session,0,,0,0
2023-04-08,2023,4,8,Saturday,1,0,,1,In Session,0,,0,0
2023-04-09,2023,4,9,Sunday,1,0,,1,In Session,0,,0,0
2023-04-10,2023,4,10,Monday,0,0,,1,In Session,0,,0,0
2023-04-11,2023,4,11,Tuesday,0,0,,1,In Session,0,,0,0
2023-04-12,2023,4,12,Wednesday,0,0,,1,In Session,0,,0,0
2023-04-13,2023,4,13,Thursday,0,0,,1,In Session,0,,0,0
2023-04-14,2023,4,14,Friday,0,0,,1,In Session,0,,0,0
2023-04-15,2023,4,15,Saturday,1,0,,1,In Session,0,,0,0
2023-04-16,2023,4,16,Sunday,1,0,,1,In Session,0,,0,0
2023-04-17,2023,4,17,Monday,0,0,,1,In Session,0,,0,0
2023-04-18,2023,4,18,Tuesday,0,0,,1,In Session,0,,0,0
2023-04-19,2023,4,19,Wednesday,0,0,,1,In Session,0,,0,0
2023-04-20,2023,4,20,Thursday,0,0,,1,In Session,0,,0,0
2023-04-21,2023,4,21,Friday,0,1,Eid Al Fitr,0,In Session,0,,0,0
2023-04-22,2023,4,22,Saturday,1,1,Eid Al Fitr,0,In Session,0,,0,0
2023-04-23,2023,4,23,Sunday,1,1,Eid Al Fitr,0,In Session,0,,0,0
2023-04-24,2023,4,24,Monday,0,1,Eid Al Fitr,0,In Session,0,,0,0
2023-04-25,2023,4,25,Tuesday,0,0,,0,In Session,0,,0,0
2023-04-26,2023,4,26,Wednesday,0,0,,0,In Session,0,,0,0
2023-04-27,2023,4,27,Thursday,0,0,,0,In Session,0,,0,0
2023-04-28,2023,4,28,Friday,0,0,,0,In Session,0,,0,0
2023-04-29,2023,4,29,Saturday,1,0,,0,In Session,0,,0,0
2023-04-30,2023,4,30,Sunday,1,0,,0,In Session,0,,0,0
2023-05-01,2023,5,1,Monday,0,0,,0,In Session,0,,0,0
2023-05-02,2023,5,2,Tuesday,0,0,,0,In Session,0,,0,0
2023-05-03,2023,5,3,Wednesday,0,0,,0,In Session,0,,0,0
2023-05-04,2023,5,4,Thursday,0,0,,0,In Session,0,,0,0
2023-05-05,2023,5,5,Friday,0,0,,0,In Session,0,,0,0
2023-05-06,2023,5,6,Saturday,1,0,,0,In Session,0,,0,0
2023-05-07,2023,5,7,Sunday,1,0,,0,In Session,0,,0,0
2023-05-08,2023,5,8,Monday,0,0,,0,In Session,0,,0,0
2023-05-09,2023,5,9,Tuesday,0,0,,0,In Session,0,,0,0
2023-05-10,2023,5,10,Wednesday,0,0,,0,In Session,0,,0,0
2023-05-11,2023,5,11,Thursday,0,0,,0,In Session,0,,0,0
2023-05-12,2023,5,12,Friday,0,0,,0,In Session,0,,0,0
2023-05-13,2023,5,13,Saturday,1,0,,0,In Session,0,,0,0
2023-05-14,2023,5,14,Sunday,1,0,,0,In Session,0,,0,0
2023-05-15,2023,5,15,Monday,0,0,,0,In Session,0,,0,0
2023-05-16,2023,5,16,Tuesday,0,0,,0,In Session,0,,0,0
2023-05-17,2023,5,17,Wednesday,0,0,,0,In Session,0,,0,0
2023-05-18,2023,5,18,Thursday,0,0,,0,In Session,0,,0,0
2023-05-19,2023,5,19,Friday,0,0,,0,In Session,0,,0,0
2023-05-20,2023,5,20,Saturday,1,0,,0,In Session,0,,0,0
2023-05-21,2023,5,21,Sunday,1,0,,0,In Session,0,,0,0
2023-05-22,2023,5,22,Monday,0,0,,0,In Session,0,,0,0
2023-05-23,2023,5,23,Tuesday,0,0,,0,In Session,0,,0,0
2023-05-24,2023,5,24,Wednesday,0,0,,0,In Session,0,,0,0
2023-05-25,2023,5,25,Thursday,0,0,,0,In Session,0,,0,0
2023-05-26,2023,5,26,Friday,0,0,,0,In Session,0,,0,0
2023-05-27,2023,5,27,Saturday,1,0,,0,In Session,0,,0,0
2023-05-28,2023,5,28,Sunday,1,0,,0,In Session,0,,0,0
2023-05-29,2023,5,29,Monday,0,0,,0,In Session,0,,0,0
2023-05-30,2023,5,30,Tuesday,0,0,,0,In Session,0,,0,0
2023-05-31,2023,5,31,Wednesday,0,0,,0,In Session,0,,0,0
2023-06-01,2023,6,1,Thursday,0,0,,0,In Session,0,,0,0
2023-06-02,2023,6,2,Friday,0,0,,0,In Session,0,,0,3
2023-06-03,2023,6,3,Saturday,1,0,,0,In Session,0,,0,0
2023-06-04,2023,6,4,Sunday,1,0,,0,In Session,0,,0,0
2023-06-05,2023,6,5,Monday,0,0,,0,In Session,0,,0,0
2023-06-06,2023,6,6,Tuesday,0,0,,0,In Session,0,,0,0
2023-06-07,2023,6,7,Wednesday,0,0,,0,In Session,0,,0,0
2023-06-08,2023,6,8,Thursday,0,0,,0,In Session,0,,0,0
2023-06-09,2023,6,9,Friday,0,0,,0,In Session,0,,0,0
2023-06-10,2023,6,10,Saturday,1,0,,0,In Session,0,,0,0
2023-06-11,2023,6,11,Sunday,1,0,,0,In Session,0,,0,0
2023-06-12,2023,6,12,Monday,0,0,,0,In Session,0,,0,0
2023-06-13,2023,6,13,Tuesday,0,0,,0,In Session,0,,0,0
2023-06-14,2023,6,14,Wednesday,0,0,,0,In Session,0,,0,0
2023-06-15,2023,6,15,Thursday,0,0,,0,In Session,0,,0,0
2023-06-16,2023,6,16,Friday,0,0,,0,In Session,0,,0,0
2023-06-17,2023,6,17,Saturday,1,0,,0,In Session,0,,0,0
2023-06-18,2023,6,18,Sunday,1,0,,0,In Session,0,,0,0
2023-06-19,2023,6,19,Monday,0,0,,0,In Session,0,,0,0
2023-06-20,2023,6,20,Tuesday,0,0,,0,In Session,0,,0,0
2023-06-21,2023,6,21,Wednesday,0,0,,0,In Session,0,,0,0
2023-06-22,2023,6,22,Thursday,0,0,,0,In Session,0,,0,0
2023-06-23,2023,6,23,Friday,0,0,,0,In Session,0,,0,0
2023-06-24,2023,6,24,Saturday,1,0,,0,In Session,0,,0,0
2023-06-25,2023,6,25,Sunday,1,0,,0,In Session,0,,0,0
2023-06-26,2023,6,26,Monday,0,0,,0,In Session,0,,0,0
2023-06-27,2023,6,27,Tuesday,0,1,Eid Al Adha,0,In Session,0,,0,0
2023-06-28,2023,6,28,Wednesday,0,1,Eid Al Adha,0,In Session,0,,0,0
2023-06-29,2023,6,29,Thursday,0,1,Eid Al Adha,0,In Session,0,,0,0
2023-06-30,2023,6,30,Friday,0,1,Eid Al Adha,0,In Session,0,,0,0
2023-07-01,2023,7,1,Saturday,1,1,Eid Al Adha,0,Summer Break,0,,0,0
2023-07-02,2023,7,2,Sunday,1,0,,0,Summer Break,0,,0,0
2023-07-03,2023,7,3,Monday,0,0,,0,Summer Break,0,,0,0
2023-07-04,2023,7,4,Tuesday,0,0,,0,Summer Break,0,,0,0
2023-07-05,2023,7,5,Wednesday,0,0,,0,Summer Break,0,,0,0
2023-07-06,2023,7,6,Thursday,0,0,,0,Summer Break,0,,0,0
2023-07-07,2023,7,7,Friday,0,0,,0,Summer Break,0,,0,0
2023-07-08,2023,7,8,Saturday,1,0,,0,Summer Break,0,,0,0
2023-07-09,2023,7,9,Sunday,1,0,,0,Summer Break,0,,0,0
2023-07-10,2023,7,10,Monday,0,0,,0,Summer Break,0,,0,0
2023-07-11,2023,7,11,Tuesday,0,0,,0,Summer Break,0,,0,0
2023-07-12,2023,7,12,Wednesday,0,0,,0,Summer Break,0,,0,0
2023-07-13,2023,7,13,Thursday,0,0,,0,Summer Break,0,,0,0
2023-07-14,2023,7,14,Friday,0,0,,0,Summer Break,0,,0,0
2023-07-15,2023,7,15,Saturday,1,0,,0,Summer Break,0,,0,0
2023-07-16,2023,7,16,Sunday,1,0,,0,Summer Break,0,,0,0
2023-07-17,2023,7,17,Monday,0,0,,0,Summer Break,0,,0,0
2023-07-18,2023,7,18,Tuesday,0,0,,0,Summer Break,0,,0,2
2023-07-19,2023,7,19,Wednesday,0,0,,0,Summer Break,0,,0,0
2023-07-20,2023,7,20,Thursday,0,0,,0,Summer Break,0,,0,0
2023-07-21,2023,7,21,Friday,0,1,Hijri New Year,0,Summer Break,0,,0,0
2023-07-22,2023,7,22,Saturday,1,0,,0,Summer Break,0,,0,0
2023-07-23,2023,7,23,Sunday,1,0,,0,Summer Break,0,,0,0
2023-07-24,2023,7,24,Monday,0,0,,0,Summer Break,0,,0,0
2023-07-25,2023,7,25,Tuesday,0,0,,0,Summer Break,0,,0,0
2023-07-26,2023,7,26,Wednesday,0,0,,0,Summer Break,0,,0,0
2023-07-27,2023,7,27,Thursday,0,0,,0,Summer Break,0,,0,0
2023-07-28,2023,7,28,Friday,0,0,,0,Summer Break,0,,0,0
2023-07-29,2023,7,29,Saturday,1,0,,0,Summer Break,0,,0,0
2023-07-30,2023,7,30,Sunday,1,0,,0,Summer Break,0,,0,0
2023-07-31,2023,7,31,Monday,0,0,,0,Summer Break,0,,0,0
2023-08-01,2023,8,1,Tuesday,0,0,,0,Summer Break,0,,0,0
2023-08-02,2023,8,2,Wednesday,0,0,,0,Summer Break,0,,0,0
2023-08-03,2023,8,3,Thursday,0,0,,0,Summer Break,0,,0,0
2023-08-04,2023,8,4,Friday,0,0,,0,Summer Break,0,,0,0
2023-08-05,2023,8,5,Saturday,1,0,,0,Summer Break,0,,0,0
2023-08-06,2023,8,6,Sunday,1,0,,0,Summer Break,0,,0,0
2023-08-07,2023,8,7,Monday,0,0,,0,Summer Break,0,,0,0
2023-08-08,2023,8,8,Tuesday,0,0,,0,Summer Break,0,,0,0
2023-08-09,2023,8,9,Wednesday,0,0,,0,Summer Break,0,,0,0
2023-08-10,2023,8,10,Thursday,0,0,,0,Summer Break,0,,0,0
2023-08-11,2023,8,11,Friday,0,0,,0,Summer Break,0,,0,0
2023-08-12,2023,8,12,Saturday,1,0,,0,Summer Break,0,,0,0
2023-08-13,2023,8,13,Sunday,1,0,,0,Summer Break,0,,0,0
2023-08-14,2023,8,14,Monday,0,0,,0,Summer Break,0,,0,0
2023-08-15,2023,8,15,Tuesday,0,0,,0,Summer Break,0,,0,0
2023-08-16,2023,8,16,Wednesday,0,0,,0,Summer Break,0,,0,0
2023-08-17,2023,8,17,Thursday,0,0,,0,Summer Break,0,,0,0
2023-08-18,2023,8,18,Friday,0,0,,0,Summer Break,0,,0,0
2023-08-19,2023,8,19,Saturday,1,0,,0,Summer Break,0,,0,0
2023-08-20,2023,8,20,Sunday,1,0,,0,Summer Break,0,,0,0
2023-08-21,2023,8,21,Monday,0,0,,0,Summer Break,0,,0,0
2023-08-22,2023,8,22,Tuesday,0,0,,0,Summer Break,0,,0,0
2023-08-23,2023,8,23,Wednesday,0,0,,0,Summer Break,0,,0,0
2023-08-24,2023,8,24,Thursday,0,0,,0,Summer Break,0,,0,0
2023-08-25,2023,8,25,Friday,0,0,,0,Summer Break,0,,0,0
2023-08-26,2023,8,26,Saturday,1,0,,0,Summer Break,0,,0,0
2023-08-27,2023,8,27,Sunday,1,0,,0,Summer Break,0,,0,0
2023-08-28,2023,8,28,Monday,0,0,,0,Summer Break,0,,0,0
2023-08-29,2023,8,29,Tuesday,0,0,,0,Summer Break,0,,0,0
2023-08-30,2023,8,30,Wednesday,0,0,,0,Summer Break,0,,0,0
2023-08-31,2023,8,31,Thursday,0,0,,0,Summer Break,0,,0,0
2023-09-01,2023,9,1,Friday,0,0,,0,In Session,0,,0,0
2023-09-02,2023,9,2,Saturday,1,0,,0,In Session,0,,0,0
2023-09-03,2023,9,3,Sunday,1,0,,0,In Session,0,,0,0
2023-09-04,2023,9,4,Monday,0,0,,0,In Session,0,,0,0
2023-09-05,2023,9,5,Tuesday,0,0,,0,In Session,0,,0,0
2023-09-06,2023,9,6,Wednesday,0,0,,0,In Session,0,,0,0
2023-09-07,2023,9,7,Thursday,0,0,,0,In Session,0,,0,0
2023-09-08,2023,9,8,Friday,0,0,,0,In Session,0,,0,0
2023-09-09,2023,9,9,Saturday,1,0,,0,In Session,0,,0,0
2023-09-10,2023,9,10,Sunday,1,0,,0,In Session,0,,0,0
2023-09-11,2023,9,11,Monday,0,0,,0,In Session,0,,0,0
2023-09-12,2023,9,12,Tuesday,0,0,,0,In Session,0,,0,0
2023-09-13,2023,9,13,Wednesday,0,0,,0,In Session,0,,0,0
2023-09-14,2023,9,14,Thursday,0,0,,0,In Session,0,,0,0
2023-09-15,2023,9,15,Friday,0,0,,0,In Session,0,,0,0
2023-09-16,2023,9,16,Saturday,1,0,,0,In Session,0,,0,0
2023-09-17,2023,9,17,Sunday,1,0,,0,In Session,0,,0,0
2023-09-18,2023,9,18,Monday,0,0,,0,In Session,0,,0,0
2023-09-19,2023,9,19,Tuesday,0,0,,0,In Session,0,,0,0
2023-09-20,2023,9,20,Wednesday,0,0,,0,In Session,0,,0,0
2023-09-21,2023,9,21,Thursday,0,0,,0,In Session,0,,0,0
2023-09-22,2023,9,22,Friday,0,0,,0,In Session,0,,0,0
2023-09-23,2023,9,23,Saturday,1,0,,0,In Session,0,,0,0
2023-09-24,2023,9,24,Sunday,1,0,,0,In Session,0,,0,0
2023-09-25,2023,9,25,Monday,0,0,,0,In Session,0,,0,0
2023-09-26,2023,9,26,Tuesday,0,0,,0,In Session,0,,0,0
2023-09-27,2023,9,27,Wednesday,0,0,,0,In Session,0,,0,0
2023-09-28,2023,9,28,Thursday,0,0,,0,In Session,0,,0,0
2023-09-29,2023,9,29,Friday,0,1,Prophet's Birthday,0,In Session,0,,0,0
2023-09-30,2023,9,30,Saturday,1,0,,0,In Session,0,,0,0
2023-10-01,2023,10,1,Sunday,1,0,,0,In Session,0,,0,0
2023-10-02,2023,10,2,Monday,0,0,,0,In Session,0,,0,0
2023-10-03,2023,10,3,Tuesday,0,0,,0,In Session,0,,0,0
2023-10-04,2023,10,4,Wednesday,0,0,,0,In Session,0,,0,0
2023-10-05,2023,10,5,Thursday,0,0,,0,In Session,0,,0,0
2023-10-06,2023,10,6,Friday,0,0,,0,In Session,0,,0,0
2023-10-07,2023,10,7,Saturday,1,0,,0,In Session,0,,0,0
2023-10-08,2023,10,8,Sunday,1,0,,0,In Session,0,,0,0
2023-10-09,2023,10,9,Monday,0,0,,0,In Session,0,,0,0
2023-10-10,2023,10,10,Tuesday,0,0,,0,In Session,0,,0,0
2023-10-11,2023,10,11,Wednesday,0,0,,0,In Session,0,,0,0
2023-10-12,2023,10,12,Thursday,0,0,,0,In Session,0,,0,0
2023-10-13,2023,10,13,Friday,0,0,,0,In Session,0,,0,0
2023-10-14,2023,10,14,Saturday,1,0,,0,In Session,0,,0,0
2023-10-15,2023,10,15,Sunday,1,0,,0,In Session,0,,0,0
2023-10-16,2023,10,16,Monday,0,0,,0,In Session,0,,0,0
2023-10-17,2023,10,17,Tuesday,0,0,,0,In Session,0,,0,0
2023-10-18,2023,10,18,Wednesday,0,0,,0,In Session,0,,0,0
2023-10-19,2023,10,19,Thursday,0,0,,0,In Session,0,,0,0
2023-10-20,2023,10,20,Friday,0,0,,0,In Session,0,,0,0
2023-10-21,2023,10,21,Saturday,1,0,,0,In Session,0,,0,0
2023-10-22,2023,10,22,Sunday,1,0,,0,In Session,0,,0,0
2023-10-23,2023,10,23,Monday,0,0,,0,In Session,0,,0,0
2023-10-24,2023,10,24,Tuesday,0,0,,0,In Session,0,,0,0
2023-10-25,2023,10,25,Wednesday,0,0,,0,In Session,0,,0,0
2023-10-26,2023,10,26,Thursday,0,0,,0,In Session,0,,0,0
2023-10-27,2023,10,27,Friday,0,0,,0,In Session,0,,0,0
2023-10-28,2023,10,28,Saturday,1,0,,0,In Session,0,,0,0
2023-10-29,2023,10,29,Sunday,1,0,,0,In Session,0,,0,0
2023-10-30,2023,10,30,Monday,0,0,,0,In Session,0,,0,0
2023-10-31,2023,10,31,Tuesday,0,0,,0,In Session,0,,0,0
2023-11-01,2023,11,1,Wednesday,0,0,,0,In Session,0,,0,0
2023-11-02,2023,11,2,Thursday,0,0,,0,In Session,0,,0,0
2023-11-03,2023,11,3,Friday,0,0,,0,In Session,0,,0,0
2023-11-04,2023,11,4,Saturday,1,0,,0,In Session,0,,0,0
2023-11-05,2023,11,5,Sunday,1,0,,0,In Session,0,,0,0
2023-11-06,2023,11,6,Monday,0,0,,0,In Session,0,,0,0
2023-11-07,2023,11,7,Tuesday,0,0,,0,In Session,0,,0,0
2023-11-08,2023,11,8,Wednesday,0,0,,0,In Session,0,,0,0
2023-11-09,2023,11,9,Thursday,0,0,,0,In Session,0,,0,0
2023-11-10,2023,11,10,Friday,0,0,,0,In Session,0,,0,0
2023-11-11,2023,11,11,Saturday,1,0,,0,In Session,0,,0,0
2023-11-12,2023,11,12,Sunday,1,0,,0,In Session,0,,0,0
2023-11-13,2023,11,13,Monday,0,0,,0,In Session,0,,0,0
2023-11-14,2023,11,14,Tuesday,0,0,,0,In Session,0,,0,0
2023-11-15,2023,11,15,Wednesday,0,0,,0,In Session,0,,0,0
2023-11-16,2023,11,16,Thursday,0,0,,0,In Session,0,,0,0
2023-11-17,2023,11,17,Friday,0,0,,0,In Session,0,Early winter rain,2,0
2023-11-18,2023,11,18,Saturday,1,0,,0,In Session,0,,0,0
2023-11-19,2023,11,19,Sunday,1,0,,0,In Session,0,,0,0
2023-11-20,2023,11,20,Monday,0,0,,0,In Session,0,,0,0
2023-11-21,2023,11,21,Tuesday,0,0,,0,In Session,0,,0,0
2023-11-22,2023,11,22,Wednesday,0,0,,0,In Session,0,,0,0
2023-11-23,2023,11,23,Thursday,0,0,,0,In Session,0,,0,0
2023-11-24,2023,11,24,Friday,0,0,,0,In Session,0,,0,0
2023-11-25,2023,11,25,Saturday,1,0,,0,In Session,0,,0,0
2023-11-26,2023,11,26,Sunday,1,0,,0,In Session,0,,0,0
2023-11-27,2023,11,27,Monday,0,0,,0,In Session,0,,0,0
2023-11-28,2023,11,28,Tuesday,0,0,,0,In Session,0,,0,0
2023-11-29,2023,11,29,Wednesday,0,0,,0,In Session,0,,0,0
2023-11-30,2023,11,30,Thursday,0,0,,0,In Session,0,,0,0
2023-12-01,2023,12,1,Friday,0,1,Commemoration Day,0,In Session,0,,0,0
2023-12-02,2023,12,2,Saturday,1,1,UAE National Day,0,In Session,0,,0,0
2023-12-03,2023,12,3,Sunday,1,1,UAE National Day,0,In Session,0,,0,0
2023-12-04,2023,12,4,Monday,0,0,,0,In Session,0,,0,0
2023-12-05,2023,12,5,Tuesday,0,0,,0,In Session,0,,0,0
2023-12-06,2023,12,6,Wednesday,0,0,,0,In Session,0,,0,0
2023-12-07,2023,12,7,Thursday,0,0,,0,In Session,0,,0,0
2023-12-08,2023,12,8,Friday,0,0,,0,In Session,1,,0,0
2023-12-09,2023,12,9,Saturday,1,0,,0,In Session,1,,0,0
2023-12-10,2023,12,10,Sunday,1,0,,0,Winter Break,1,,0,0
2023-12-11,2023,12,11,Monday,0,0,,0,Winter Break,1,,0,0
2023-12-12,2023,12,12,Tuesday,0,0,,0,Winter Break,1,,0,0
2023-12-13,2023,12,13,Wednesday,0,0,,0,Winter Break,1,,0,0
2023-12-14,2023,12,14,Thursday,0,0,,0,Winter Break,1,,0,0
2023-12-15,2023,12,15,Friday,0,0,,0,Winter Break,1,,0,0
2023-12-16,2023,12,16,Saturday,1,0,,0,Winter Break,1,,0,0
2023-12-17,2023,12,17,Sunday,1,0,,0,Winter Break,1,,0,0
2023-12-18,2023,12,18,Monday,0,0,,0,Winter Break,1,,0,0
2023-12-19,2023,12,19,Tuesday,0,0,,0,Winter Break,1,,0,0
2023-12-20,2023,12,20,Wednesday,0,0,,0,Winter Break,1,,0,0
2023-12-21,2023,12,21,Thursday,0,0,,0,Winter Break,1,,0,0
2023-12-22,2023,12,22,Friday,0,0,,0,Winter Break,1,,0,0
2023-12-23,2023,12,23,Saturday,1,0,,0,Winter Break,1,,0,0
2023-12-24,2023,12,24,Sunday,1,0,,0,Winter Break,1,,0,0
2023-12-25,2023,12,25,Monday,0,0,,0,Winter Break,1,,0,0
2023-12-26,2023,12,26,Tuesday,0,0,,0,Winter Break,1,,0,0
2023-12-27,2023,12,27,Wednesday,0,0,,0,Winter Break,1,,0,0
2023-12-28,2023,12,28,Thursday,0,0,,0,Winter Break,1,,0,0
2023-12-29,2023,12,29,Friday,0,0,,0,Winter Break,1,,0,0
2023-12-30,2023,12,30,Saturday,1,0,,0,Winter Break,1,,0,0
2023-12-31,2023,12,31,Sunday,1,0,,0,Winter Break,1,,0,0
